Date,Industry_Vertical,Sub_Vertical,City,Invester_name,Investment_Type,Funding_Amount_in_cr,Startup_name
19-08-2019,E-commerce,Grocery Delivery,Gurgaon,Softbank Vision Fund,Series F,560,Byjus
27-08-2019,Transportation,Bike Taxi,Bengaluru,Westbridge Capital,Series B,31200,Moglix
02-07-2019,Finance,Auto Insurance,Gurgaon,"Lok Capital, IIFL Wealth",Series B,152,Ezyhaul
02-07-2019,Information Technology,Big Data,Singapore,WaterBridge Ventures,Pre-Series A,20,Indus Os
01-07-2019,Compliance,Consulting,New Delhi,Kapil Dev,Angel,1.16,Healthassure
03-07-2019,Transport,Cabs,Kormangala,"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury",Series J,8,House Of Msasaba
04-07-2019,Food & Beverages,Digital Vending Machine,New Delhi,Artha Venture,Seed Funding Round,4,Nobroker
10-07-2019,Ed-Tech,Education,Bengaluru,Qatar Investment Authority,Private Equity Round,1200,Bira91
11-07-2019,E-commerce,Industrial Tools and Equipments,Singapore,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",Series D,480,Avail Finance
10-07-2019,Tech,Logistics,Singapore,Undisclosed,Series B,128,Bharatpe
10-07-2019,Tech,Smartphone Operating System,Andheri,Ventureast,Series B,46,Recykal
10-07-2019,Health Care,Primary care medical network,Mumbai,Blume Ventures,Series A,20,Agara Labs
09-07-2019,Luxury Label,Clothes and Apparel,Mumbai,Binny Bansal,Series A,8,Chakr Innovation
08-07-2019,Ed-Tech,Full-stack career platform,Chembur,Multiple Angel Investors,Angel Round,2.56,Bolo App
05-06-2019,E-commerce,Real Estate,Bengaluru,General Atlantic,Series C,408,Okcredit
04-06-2019,Food & Beverages,Brewery,New Delhi,Anicut Capital,Debt Funding,80,Biz2Credit
03-06-2019,Finance,FinTech,Bengaluru,Matrix Partners,Series A,72,Leegality
04-06-2019,Finance,FinTech,New Delhi,Insight Partners,Series B,600,Saahas Zero Waste
04-06-2019,Waste Management Service,Optimization,Hyderabad,"Triton Investment Advisors, Pidilite Industries director Ajay Parekh",Pre-Series A,208,Blackbuck
03-06-2019,Deep-Tech,Artificial Intelligence,Bengaluru,Blume Ventures and RTP Global,Pre-Series A,20,Zenoti
06-06-2019,Energy,Renewable Energy,New Delhi,IAN Fund,Series A,208,Freshvnf
