Date,Industry_Vertical,Sub_Vertical,City,Invester_name,Investment_Type,Funding_Amount_in_cr,Startup_name
15-11-2017,Technology,WiFi Analytics Platform,Delhi,Omidyar Network,Private Equity,24,Rentongo
17-11-2017,Inspiration,Storytelling platform,Hyderabad,Undisclosed Investors,Seed Funding Round,1.6,Bhive Workspace
20-11-2017,Technology,Self riding bike rental program,Mumbai,Z Nation Lab,Seed Funding Round,5.54,Growfitter
21-11-2017,Technology,Bike and Taxi pooling online platform,Hyderabad,"Skycatcher Fund, Aravind Sanka",Seed Funding Round,2.63,Stratfit
21-11-2017,Technology,Big Data Analytics Platform,Mumbai,"Notion Capital, IDG Ventures",Private Equity,21.6,Multiplier Solutions
21-11-2017,Technology,Managed Cloud Environment Solutions,Mumbai,1Crowd,Seed Funding Round,3.2,Abi Health
21-11-2017,Technology,AI based pharmacy drugs insights platform,Mumbai,"Vida Ventures, Dr. Aniruddha Malpani",Seed Funding Round,2,Stockal
21-11-2017,Health Care,Healthcare facilities at doorstep,Bangalore,"Sabre Partners, MEMG CDC",Private Equity,208,Guidoo
21-11-2017,Finance,Tech based investor firm,Mumbai,Global Institutional Investors,Private Equity,1600,Boxx.Ai
24-11-2017,Finance,Venture Capitalist,Bangalore,Uniliver Ventures,Private Equity,80,Goodera
24-11-2017,Technology,IoT and SaaS based transportation platform,Goa,Javelin StartupO Victory Fund,Seed Funding Round,2,Ola
27-11-2017,Finance,Diversified Financial,Mumbai,Undisclosed investors,Private Equity,2160,Mrneeds
27-11-2017,Technology,Identity management platform,Mumbai,Amit Patni,Seed Funding Round,0.31,Moneytap
27-11-2017,Technology,Virtual Reality based gaming platform,Mumbai,Sixth Sense Ventures,Private Equity,30.4,Goodbox
28-11-2017,Lifestyle,Designer-led consumer products,Bangalore,Gaja Capital,Private Equity,104,Portdesk
28-11-2017,Technology,Online Truck aggregator platform,Chennai,IFMR Capital,Debt Funding,12,Unbxd
28-11-2017,Health Care,Health and fitness based mobile App,Goa,"NB Ventures, MediAssist",Seed Funding Round,10.8,Darwinbox
28-11-2017,Technology,Student accommodation platform,Delhi,"Matrix PArtners, Accel",Private Equity,16,Forevershop
04-10-2017,Consumer Internet,Education collaboration platform,Bangalore,Sprout Angels,Seed Funding Round,2.45,Explore Life Traveling
04-10-2017,Consumer Internet,Digital Wallet,Bangalore,Flipkart,Private Equity,309.6,Loantap
05-10-2017,Consumer Internet,Local Recommendations and Discoveries Platform,New Delhi,"Blume Ventures, IDG Ventures & Indian Angel Network",Private Equity,8,Voxweb
05-10-2017,Technology,rooftop solar platform,Mumbai,Globevestor,Seed Funding Round,3.6,Hug Innovations
05-10-2017,E-commerce,Ecommerce Portal for Used Goods,Bangalore,"Sequoia India, Helion Venture Partners, Beenext",Private Equity,73.6,V Resorts
06-10-2017,E-commerce,Mobile repair and Refurbishment platform,New Delhi,Carpediem Capital,Private Equity,24.8,Stashfin
06-10-2017,Technology,Fresh Produce SCM company,Bangalore,"Epsilon Venture Partners, Tara India Fund IV and others",Private Equity,64,Spares Hub
06-10-2017,Consumer Internet,Self Drive car and bike rental platform,Bangalore,"Das Capital, Axan Partners, Das Capital and IT Farm",Private Equity,80,Niki.Ai
06-10-2017,Consumer Internet,Student Micro-financing platform,Bangalore,"Das Capital, Simile Ventures",Private Equity,16,Fitpass
09-10-2017,E-commerce,Home Interior Designing Seller,Bangalore,"Firoze Irani, Vipul Parekh, Ananda Kallugadde, Rajesh K Murthy",Private Equity,21.6,Urbanclap
09-10-2017,Technology,Education Technology platform,New Delhi,Orient BlackSwan,Seed Funding Round,2.69,4Tigo
10-10-2017,Technology,AI-powered deep learning solutions,Gurgaon,Multipoint Capital,Private Equity,11.2,Balance App
10-10-2017,Consumer Internet,online restaurant reservation platform,Gurgaon,Saama Capital and DSG Consumer Partners,Private Equity,36,Yepme
11-10-2017,Logistics,Medical Transportation Services,Hyderabad,KStart Capital,Private Equity,8.8,Curie Labs
12-10-2017,Technology,"Education Network for Institutions, teachers & Students",Hyderabad,Undisclosed investors,Seed Funding Round,1.88,Vidooly
13-10-2017,Consumer Internet,Online insurance policy aggregator,Gurgaon,"Wellington Management, DG Ventures India, True North",Private Equity,616,Shopclues
13-10-2017,Consumer Internet,home maintenance services platform,Bangalore,"Vida Ventures, Snehal Mantri, Anshu Bahadur",Seed Funding Round,2,Fourth Ambit
13-10-2017,E-commerce,Online Chai ordering platform,Gurgaon,Tiger Global Management,Private Equity,16,Legal Raasta
16-10-2017,Consumer Internet,Online Insurance Aggregator,New Delhi,Amicus Capital,Private Equity,73.6,Aequm
18-10-2017,Consumer Internet,Online Financial Marketplace,Chennai,Experian,Private Equity,56,Telr
18-10-2017,Consumer Internet,Online peer-to-peer lending platform,Mumbai,Undisclosed Investor,Seed Funding Round,4,Ezcred
23-10-2017,Food & Beverages,Cold pressed Juice maker,Mumbai,"DSG Consumer Partners, Sequoia Capital, Saama Capital",Private Equity,48,Zipgrid
23-10-2017,Consumer Internet,app-only lending platform,Mumbai,IFMR Capital,Debt Funding,24.8,Box8
23-10-2017,Consumer Internet,Machine learning based parking discovery,Kolkata,Rockstart Accelerator,Seed Funding Round,0.94,Gennext Students
24-10-2017,Food & Beverages,Herbal energy shot maker,Mumbai,Venture Catalysts,Seed Funding Round,4,Supr Daily
24-10-2017,Consumer Internet,SME lending platform,New Delhi,"Matrix Partners India, WaterBridge Ventures, Whiteboard Capital, Sarbvir Singh",Private Equity,24,Sastasundar
24-10-2017,Consumer Internet,Online Learning Platform,Bangalore,"Blume Ventures, Indian Angel Network",Seed Funding Round,5.78,Eruditus
25-10-2017,Consumer Internet,Contract Automation,Gurgaon,"Hunch Ventures, Spiral Ventures, 500 Startups, Singapore Angel Network, Citrus Payments",Seed Funding Round,4.4,Perfios
26-10-2017,E-commerce,Online Grocery portal,Bangalore,Helion Ventures Partners,Private Equity,40,Whatfix
28-10-2017,Technology,Payments Platform for Marketplaces and Fintechs,New Delhi,Y Combinator,Seed Funding Round,0.96,Konsult App
30-10-2017,Food & Beverages,Agriculture Technology,Coimbatore,Mahindra & Mahindra and Infuse Ventures,Private Equity,16,Mech Mocha
31-10-2017,Finance,Equity Stock Exchange,Mumbai,"IL&FS, Trust Capital, Rosy Blue Securities, Radhakrishan Damani and Rakesh Jhunjhunwala",Private Equity,256,Omnify
01-09-2017,E-commerce,Online B2B store for office supplies,Chennai,YourNest Angel Fund,Private Equity,8,Mergerware
01-09-2017,Consumer Internet,Online Photography platform,Mumbai,InfoEdge,Private Equity,10.4,Emiza
04-09-2017,Technology,Application Performance Acceleration,Pune,"Accel Partners, Exfinity Ventures, Partech Ventures",Private Equity,44.8,Hackerearth
05-09-2017,Technology,EduTech Platform,Gurgaon,"Michael and Susan Dell Foundation, Anand Mahindra",Seed Funding Round,4.8,Weareholidays
06-09-2017,Consumer Internet,Online Lending Platform,Ahmedabad,"Bertelsmann India, Mayfield Capital, Saama Capital, Darrin Capital",Private Equity,86,Myly
06-09-2017,Consumer Internet,Online travel booking platform,New Delhi,"HIS Co. Ltd, MakeMyTrip",Private Equity,80,Credihealth
06-09-2017,Health Care,Medical Diagnostic Solutions,Bangalore,"Sequoia Capital India, Artiman Ventures",Private Equity,48,Snackible
06-09-2017,E-commerce,Buying Club for Small Businesses,Gurgaon,"International Finance Corporation (IFC), Inventus Capital Partners, Accel Partners, Kalaari Capital, and Nandan Nilekani",Private Equity,208,Be U Salons
07-09-2017,Consumer Internet,Online Credit scoring platform,Mumbai,Matrix Partners,Private Equity,40,Innefu Security Consulting
07-09-2017,Consumer Internet,Branded budget hotels marketplace,Gurgaon,"SoftBank Group, Sequoia Capital India, Lightspeed Venture Partners, Greenoaks Capital, Hero Enterprise",Private Equity,2000,Absentia Vr
07-09-2017,Consumer Internet,Online Unsecured Lending platform,Pune,IFMR Capital,Debt Funding,6.24,Iotrek
07-09-2017,E-commerce,Ecommerce portal for senior citizens,Pune,RPG Enterprises,Private Equity,8,Faasos
11-09-2017,Logistics,Logistics Solutions provider,New Delhi,Warburg Pincus,Private Equity,240,Flytxt
11-09-2017,Consumer Internet,Healthcare Services Aggregator,Hyderabad,"Sachin Tendulkar, P.V SIndhu, Pullela Gopichand",Private Equity,49.6,Howdy Ventures
12-09-2017,Technology,Imaging Technology for Armed Forces,Bangalore,"WRV Capital, Qualcomm Ventures, Edelweiss Private Equity, Artiman Ventures",Private Equity,136,Sepalika
12-09-2017,Consumer Internet,Smart Parking Enabler,New Delhi,"IAN Fund, Beenext, Indian Angel Network",Private Equity,24,Belong
13-09-2017,Technology,Telecom & IoT platform,Chennai,"Chennai Angels, Keiretsu Forum & Others",Seed Funding Round,6.24,Tydy
14-09-2017,Consumer Portal,Bike Rental Platform,Bangalore,Y Combinator,Seed Funding Round,0.96,Igenetics
18-09-2017,E-commerce,Pregnancy & Baby Care product etailer,Gurgaon,"DSG Consumer Partners, Saama Capital",Private Equity,8,Summerlabel
19-09-2017,Technology,Integrated receivables software solutions,Hyderabad,Susquehanna Growth Equity LLC,Private Equity,400,Agrostar
21-09-2017,Finance,financial services firm,Gaya,Incofin Investment Management,Private Equity,48,Data Resolve
21-09-2017,E-commerce,Home Furnishing & Building material marketplace,Bangalore,LG Chandrasekhar,Private Equity,8,Pipecandy
22-09-2017,E-commerce,Online Travel Agency,Gurgaon,InnoVen Capital India,Debt Funding,123.2,Appbrowzer
25-09-2017,Technology,SME Marketing Management Solution,Bangalore,"Vertex Ventures, Prime Venture Partners",Private Equity,48,Lavelle Networks
25-09-2017,Consumer Internet,Sports & Sport related equipment portal,Mumbai,Mehul Shah,Seed Funding Round,1.2,Fitso
27-09-2017,Technology,Geospatial Technology-based SaaS solutions,Mumbai,"IL&FS Investment Managers, Omidyar Network",Private Equity,12.8,Ixigo
27-09-2017,Consumer Internet,Car repair and Servicing Platform,Bangalore,"Blume Ventures, Goldbell Group, Anurag Srivastava, Shailesh Rao, Amiya Pathak, Rajesh Yohanan and Rahul Garg",Private Equity,8,Bizom
28-09-2017,Technology,Defense Tech & Aerospace startup,Bangalore,Keiretsu Forum,Private Equity,8,Perpule
01-08-2017,Technology,Predictive Care Platform,Bangalore,Kae Capital,Private Equity,10.4,Oriano Solar
02-08-2017,Consumer Internet,DIY Ecommerce platform,Mumbai,"Kunal Shah, LetsVenture, Anupam Mittal, Hetal Sonpal",Seed Funding Round,4,Wandertrails
02-08-2017,Consumer Internet,healthcare service aggregator,Hyderabad,"Narottam Thudi, Shireesh Palle",Seed Funding Round,6.8,Zenatix
03-08-2017,Logistics,On-Demand Logistics Service provider,Mumbai,Cismat Cargo Services Pvt. Ltd,Seed Funding Round,2.4,Cartrade
08-08-2017,Technology,Hospital Management Software,Chennai,Undisclosed investors,Seed Funding Round,1.94,Fyle
08-08-2017,Consumer Internet,foreign exchange services,New Delhi,"Rahul Dev Kumar, Rajesh Mahajan, Ankit Sharma and others",Seed Funding Round,1.76,Gobumpr
09-08-2017,Logistics,Mobile based Logistics Service,New Delhi,"Venugopal Dhoot, Ajay Bhatia, Tarun Khandelwal, Ganpat Singhvi, Mandhian family & Others",Seed Funding Round,24.8,Ccavenue
09-08-2017,Technology,Agriculture Supply Chain solutions,Gurgaon,Factor[e] Ventures,Seed Funding Round,6.26,Airzaar
11-08-2017,E-commerce,Online Marketplace,Bangalore,Softbank,Private Equity,20000,Imaginate
14-08-2017,Technology,Personal Loans & EMI solutions platform,Mumbai,"InCred Finance, Fullerton India Credit Company Ltd",Seed Funding Round,2.5,Johari Shop
15-08-2017,Consumer Internet,Unsecured Small Business Loans,Bangalore,"InCred, Krishnakumar Natarajan, Ravi Bhardwaj",Seed Funding Round,3.08,Neostencil
20-08-2017,E-commerce,Building material online store,New Delhi,Abhinav Gupta,Seed Funding Round,1.5,Tempogo
21-08-2017,Consumer Internet,E-Tech platform,Vadodara,Undisclosed HNI\\xe2\\x80\\x99s,Seed Funding Round,5.87,Freecharge
23-08-2017,Technology,Cloud data protection and management solutions,Pune,"Riverwood Capital, Sequoia Capital India, Nexus Venture Partners, Tenaya Capital",Private Equity,640,Loan Frame
23-08-2017,E-commerce,Men Grooming product etailer,New Delhi,Fireside Ventures,Private Equity,18.4,Hansel.Io
23-08-2017,Technology,Software & Mobile app development platform,Bangalore,Haresh Chawla,Seed Funding Round,4,Roambee
24-08-2017,Technology,mPOS solutions provider,Bangalore,"JS Capital Management, Social Capital, Horizons Ventures",Private Equity,128,Iservice
25-08-2017,Consumer Internet,Online printing marketplace,Chennai,"VAMM Ventures, Raksul, Dena",Seed Funding Round,6,Zolostays
25-08-2017,Consumer Internet,Online Doctor Discovery Platform,Bangalore,"PBS Srinivas, Vinod Martin",Seed Funding Round,1,Hipcouch
28-08-2017,Technology,Restaurant & Hotel CRM platform,Pune,"Sistema Asia Fund, C31 Ventures, Qualgro",Private Equity,56,Curiositi
30-08-2017,Consumer Internet,Budget Hotel Aggregator platform,Bangalore,Ward Ferry Management and Karst Peak Capital,Private Equity,272,Hoopy
01-07-2017,Consumer Internet,Peer to Peer Lending platform,Bangalore,Reliance Corporate Advisory Services Ltd,Seed Funding Round,8,Vahdam Teas
03-07-2017,Technology,Energy management solutions provider,Ahmedabad,"Infuse Ventures, JLL",Private Equity,20.8,Weddingz.In
05-07-2017,E-commerce,online marketplace for food and grocery,Bangalore,"Kalaari Capital, Nexus India Capital Advisors",Private Equity,68,Cuemath
05-07-2017,Consumer Internet,Hyperlocal home services provider,Mumbai,BCCL,Private Equity,8,Nowfloats
07-07-2017,Consumer Internet,Digital Media Video platform,Bangalore,"India Quotient, Shunwei Capital",Seed Funding Round,8,Instasafe
10-07-2017,Technology,Workshop Management Software Platform,Hyderabad,Mitsui & Co,Private Equity,24,99Perhour
11-07-2017,Consumer Internet,Salon & Spa Aggregation & Discovery platform,Pune,Dunamis Ventures Pte Ltd,Private Equity,18,Intuit Things
11-07-2017,Consumer Internet,Video Content Discovery Platform,Mumbai,"Venture Catalysts, Sourav Ganguly, Ankit Aditya, Moksh Sports Ventures",Seed Funding Round,3.71,Cloudrino
12-07-2017,Technology,Digital payments solutions,Bangalore,"SBI-FMO Fund, Bessemer Venture Partners, Catamaran Ventures",Private Equity,148,Maptags
14-07-2017,Technology,Construction site operations and analytics platform,Bangalore,"Brigade Innovations LLP, TV Mohandas Pai, Suhail Rahman, Bobby Reddy, M George Oommen",Seed Funding Round,4.32,Slide App
17-07-2017,Technology,Enterprise Banking Solutions,Pune,"IDG Ventures India Advisors, Jungle Ventures",Private Equity,32,Urdoorstep
19-07-2017,Consumer Internet,Consumer Leasing Platform,Bangalore,"ain Capital Ventures, Renaud Laplanche",Private Equity,80,Stalk Buy Love
19-07-2017,Technology,Gamified Learning App,Bangalore,ABI-Showatech (India) Ltd,Seed Funding Round,4.8,Neuroequilibrium
20-07-2017,Technology,Online payments platform,Gurgaon,"Kae Capital, M&S Partners",Seed Funding Round,5.6,Xseed Education
21-07-2017,E-commerce,Online Marketplace for Construction Material,Gurgaon,"Subramani Somasundaram, Sundeep Sahni, Mayank Mittal & Others",Seed Funding Round,1.6,Rupaiya Exchange
25-07-2017,Consumer Internet,Mobile Learning App,Bangalore,Tencent Holdings,Private Equity,280,Trading Bells
26-07-2017,Consumer Internet,Budget hotels brand & Aggregator Platform,New Delhi,Goldman Sachs,Private Equity,200,Ideaforge
26-07-2017,Consumer Internet,Assisted Learning Startup,Bangalore,"Indian Angel Network, Anand Mahindra",Seed Funding Round,1.6,Amagi Media Labs
28-07-2017,Consumer Internet,Beauty Services Marketplace,Mumbai,Info Edge (India) Ltd,Private Equity,10,Tripshelf
02-06-2017,E-commerce,"Online Marketplace for Renting Bikes, Electronics & Appliances",Bangalore,TVS Motor Company,Seed Funding Round,1.87,Vegetall
05-06-2017,Consumer Internet,Online Travel & Holiday Booking platform,Mumbai,Emerging India,Private Equity,400,Mindler
06-06-2017,E-commerce,Online Used Car marketplace,Gurgaon,"Blume Ventures, Indian Angel Network, Kunal Shah, Sandeep Tandon",Private Equity,8,Enkast
06-06-2017,Consumer Internet,co-working spaces,Bangalore,Blume Ventures,Private Equity,9.6,Pickmylaundry
06-06-2017,Consumer Internet,Mobile app for Mental Health,New Delhi,"Harsh Mahajan, Farhan Naqvi, Sreepathy Viswanathan",Seed Funding Round,8,Freshdesk
07-06-2017,Consumer Internet,health and fitness discovery platform,Mumbai,SQue Capital,Seed Funding Round,4.8,Connect India
08-06-2017,Consumer Internet,Health coaching programs,Hyderabad,Bodhtree Consulting Limited,Seed Funding Round,1.86,Corseco
08-06-2017,Technology,CRM Software for Healthcare space,Hyderabad,Norwest Venture Partners,Private Equity,12,Medzin
08-06-2017,Technology,Unified Digital Health Platform,Bangalore,Norwest Venture Partners,Private Equity,12,Justride
08-06-2017,Consumer Internet,App-based Investment advisory Services,Bangalore,"Mohan Alexander, R. Natarajan, Vikrant Varshney, Amit Sinha",Seed Funding Round,2.8,Iim Jobs
09-06-2017,Consumer Internet,Travel & adventure planning platform,Mumbai,"Pawan Borle, Nirmal Singh, Manish Prasad, Vineet Varma, Nick Haulkoury, Abhai S. Rao",Seed Funding Round,2.4,Golflan
09-06-2017,Consumer Internet,ambulance aggregator and medical taxi provider,Hyderabad,"Dr Ramesh Ayyala, Satya Muthyala",Seed Funding Round,2,Active.Ai
12-06-2017,Technology,Artificial Intelligence,Bangalore,"Unicorn India Ventures, Venky Krishnakumar, Suresh Shankar, Vivek Bhargava",Private Equity,4,Stasis Labs
12-06-2017,Health Care,Hygiene care product manufacturer,New Delhi,"Venture Catalysts, Alfa Capital, Green Shots Capital, Real Time Ventures",Private Equity,8,Koovs
12-06-2017,Consumer Internet,Online rooms aggregation platform,Mumbai,"Artha India Ventures, Singularity Holdings, Rajan Anandan, Girish Mathrubootham",Seed Funding Round,6.21,Pictor Imaging
13-06-2017,Technology,CSR and sustainability management platform,Bangalore,"Nexus Venture Partners, Omidyar Network",Private Equity,44,Numberz.In
14-06-2017,Consumer Internet,Cab Aggregation App,Bangalore,Tekne Capital Management LLC,Private Equity,400,Awesummly
14-06-2017,Consumer Internet,Micro Food Delivery platform,Noida,undisclosed investors,Seed Funding Round,4,Noddapp
15-06-2017,Consumer Internet,Money Lending platform,Bangalore,"Sequoia India, NEA, Prime Venture Partners",Private Equity,98.4,Knowlarity
16-06-2017,E-commerce,Mobile SAAS\\xc2\\xa0 ECommerce platform for SMEs,Bangalore,"Nexus Venture Partners, Mekin Maheshwari",Private Equity,8,Infisecure
16-06-2017,Technology,Maritime Solutions,Noida,Alphard Maritime Group,Seed Funding Round,16,Wholesalebox
19-06-2017,Technology,Cloud-based product discovery platform,Bangalore,Eight Roads Ventures,Private Equity,100,Entropika
19-06-2017,Technology,Enterprise human resources management platform,Hyderabad,"Lightspeed India Partners, Endiya Partners, 3one4 Capital Advisors LLP, Startupxseed Ventures LLP",Private Equity,32,Marianaiq
20-06-2017,Consumer Internet,Mobile based ecommerce platform,Bangalore,91maker.com,Seed Funding Round,2.4,Chai Thela
20-06-2017,Consumer Internet,Events Ticketing platform,Mumbai,Paytm,Private Equity,41.6,Interviewpad
21-06-2017,Consumer Internet,Health-Tech platform,Bangalore,"Manipal Education and Medical Group (MEMG), SAR Group, The Grover Trust",Private Equity,36,Pulse
21-06-2017,Technology,Artificial Intelligence based platform,Hyderabad,iBhubs,Seed Funding Round,1.72,Carcrew.In
22-06-2017,Technology,Open Source Language for Data Science and Machine Learning,Bangalore,"General Catalyst, Founder Collective",Private Equity,36.8,Giftxoxo
22-06-2017,Consumer Internet,Local homes booking platform,Bangalore,"Mekin Maheshwari, Bharat Vijay, Krish Seshadri, Amar Arsikere",Seed Funding Round,4,Netlinx
23-06-2017,Consumer Internet,Lending platform for salaried professionals,Mumbai,"Kae Capital, India Quotient, IFMR, and MAS Financial Services Ltd",Private Equity,32,Remitr
23-06-2017,Consumer Internet,Mobile based social networking platform,Mumbai,Undisclosed investors,Seed Funding Round,8,Innerchef
26-06-2017,Technology,Gesture based\\xc2\\xa0 Smartwatch manufacturer,Hyderabad,"Mohit Srivastav, Kishore Ganji, Venkat Vallabhaneni, Rajeev Menon",Private Equity,40,Appsdaily
26-06-2017,Consumer Internet,Holiday & Vacation resort aggregator,Noida,"Seedfund, RB International",Private Equity,32,Realbox
27-06-2017,Consumer Internet,Personal Finance App,New Delhi,"Snow Leopard Ventures, Alto Partners",Private Equity,40,Gozefo
27-06-2017,E-commerce,Automobile parts marketplace,Pune,"The Chennai Angels, Anthill Scale Ventures, Esvee Technologies Inc, Inc95 Consulting",Seed Funding Round,2.49,Kooh Sports
28-06-2017,Consumer Internet,AI Based Personal Assistant,Bangalore,"SAP.iO, Unilazer Ventures",Private Equity,16,Yupp Tv
29-06-2017,Consumer Internet,Online Fitness Marketplace,New Delhi,"Abhinav Bindra, Gaurav Marya",Private Equity,8,Deyor Camps
30-06-2017,Technology,in-video discovery platform,Bangalore,Undisclosed Investors,Private Equity,40,Robovac
30-06-2017,Consumer Internet,Mobile Services Marketplace,Gurgaon,"Vy Capital, SAIF Partners, Accel Partner, Bessemer Venture Partners",Private Equity,168,Newspatrolling
01-05-2017,Consumer Internet,Online Rummy playing Website,Hyderabad,Clairvest Group,Private Equity,589.6,Postman
02-05-2017,Technology,Enterprise Mobility Solutions,Hyderabad,Hyderabad Angels,Seed Funding Round,12,Dailyhunt
02-05-2017,Logistics,Truck Network company,Bangalore,"Accel Partners, Nandan Nilekani",Private Equity,80,Tazzo Bikes
02-05-2017,Consumer Internet,Real estate risk assessment platform,Bangalore,undisclosed investors,Seed Funding Round,3.12,Yumigo
05-05-2017,Consumer Internet,Money Savings & Management App,Bangalore,Rainmatter,Seed Funding Round,1.86,Soopermo
08-05-2017,E-commerce,Private Label Fashion etailer,Gurgaon,"Rainbow Digital Services Pvt. Ltd, ILearnFinance Academy Pvt. Ltd",Private Equity,5.6,Orangetwig
08-05-2017,Food & Beverages,Cold-press Juices manufacturer,New Delhi,"Ajay Relan, LetsVenture",Seed Funding Round,8,Velmenni
09-05-2017,Technology,Energy Analytics startup,New Delhi,Satoshi Studios,Seed Funding Round,0.4,Impact Analytics
10-05-2017,Consumer Internet,Video Intelligence platform,Noida,"Times Internet, GVFL",Private Equity,11.2,Simplilearn
10-05-2017,E-commerce,Online marketplace,Gurgaon,InnoVen Capital,Private Equity,61.6,Prozo
10-05-2017,Consumer Internet,Community Building platform,Bangalore,1Crowd,Seed Funding Round,4.8,Toprankers
12-05-2017,Consumer Internet,Legal Services to SMEs & Individuals,New Delhi,Impanix Capital,Private Equity,40,Inuxu
12-05-2017,Consumer Internet,Digital money transfer platform,Mumbai,"Infibeam, CCavenue",Private Equity,3.73,Nearbuy
12-05-2017,E-commerce,Cloud ECommerce platform,Bangalore,undisclosed investors,Seed Funding Round,8,Flocareer
15-05-2017,Technology,Project Management tool,Bangalore,IdeaSpring Capital,Seed Funding Round,4,Infeedo
16-05-2017,Technology,Online Payment Gateway,Mumbai,Innovations East,Private Equity,24,Doctorinsta
17-05-2017,Consumer Internet,hyperlocal delivery and logistics mobile app,Chennai,undisclosed investors,Seed Funding Round,2,Justlikenew
18-05-2017,E-commerce,Online Luxury Tea etailer,Mumbai,"Ayesha Takia Azmi, Abu Farhan Azmi",Seed Funding Round,8,Equickies
19-05-2017,Consumer Internet,Consumer Lending Platform,Bangalore,"Dheeraj Pandey, Rajesh Yohannan, Akash Garg",Seed Funding Round,8,Hashtaag
22-05-2017,Logistics,ECommerce Logistics provider,New Delhi,Fosun International,Private Equity,240,Beardo
22-05-2017,Consumer Internet,"Cashless, paperless solutions for Housing societies",Mumbai,"JLL, 1Crowd",Seed Funding Round,4,Instacar
23-05-2017,Consumer Internet,Food Delivery Platform,Mumbai,Trifecta Capital,Private Equity,8,Zeta
24-05-2017,Consumer Internet,Online Tutoring Services,Mumbai,Undisclosed Investors,Seed Funding Round,4.64,Healthkart
29-05-2017,E-commerce,Online Medical equipment supplier,Mumbai,Carpediem Capital,Private Equity,28,Flickbay
30-05-2017,Consumer Internet,Subscription based delivery platform,Mumbai,"Soma Capital, Great Oaks Ventures, 122 West Ventures",Private Equity,12,Wefly Indoor Skydiving
31-05-2017,E-commerce,Online Pharmacy,Kolkata,Rohto Pharmaceutical,Private Equity,40,Travelyaari
03-04-2017,Education,Executive Education Provider,Mumbai,Bertelsmann India,Private Equity,65.6,Innovaccer
03-04-2017,Health Care,Home Healthcare Provider,Noida,Quadria Capital Advisors,Private Equity,320,Hike
04-04-2017,Food & Beverages,Fresh-Produce Distribution Platform,Chennai,Aspada Investments,Private Equity,21.6,Makkajai
04-04-2017,Technology,Fin-Tech Solutions,Bangalore,Bessemer Venture Partners,Private Equity,48.8,Maalgaadi
04-04-2017,Technology,Interactive Tech-Support Guides,Bangalore,"Stellaris Venture Partners, Helion Venture Partners, Powerhouse Ventures, Gokul Rajaram, Girish Mathrubootham, Aneesh Reddy, Vispi Daver",Private Equity,29.52,Appknox
04-04-2017,Technology,App based Logistics & Distribution platform,Pune,"Kalaari Capital, Norwest Venture Partners",Private Equity,56,Quikr
04-04-2017,Consumer Internet,Online Truck Aggregator & Booking platform,Ahmedabad,"Keyur Joshi, Pavan Bakeri",Seed Funding Round,4,Digio
04-04-2017,Consumer Internet,App based Doctor Consulting platform,New Delhi,"Koen Bouwers, Lomesh Agarwal, Jeroen Mensen, Pablo van den Bosch & Others",Seed Funding Round,4,Puro Wellness
06-04-2017,Health Care,Home-Based Healthcare provider,Bangalore,"Mahindra Partners, Eight Roads Ventures, F-Prime Capital Partners",Private Equity,168,Advenio
06-04-2017,Consumer Internet,Mobile gaming startup,Bangalore,"Accel Partners, Shunwei Capital",Private Equity,40,Guarented
08-04-2017,Consumer Internet,Online rental discovery platform,Gurgaon,"Lightspeed India Partners, Blume Ventures, CyberAgent Ventures, GrowX Ventures, IMJ Investment Partners",Private Equity,36.8,Mobikwik
10-04-2017,Technology,SaaS platform for SMEs,Bangalore,"Rajan Anandan, L.D Sharma, Saurabh Arora",Seed Funding Round,1.2,Mydidi
11-04-2017,Technology,Software solutions for M&As,Bangalore,Philippe Bouchet,Seed Funding Round,0.8,Livspace
12-04-2017,E-commerce,Online lingerie & Sleepwear etailer,New Delhi,"Ivycap Ventures Advisors, Singularity Ventures and Ravi Dhariwal",Private Equity,32,Daybox
12-04-2017,Logistics,Third Party Logistics provider,Mumbai,"Mayfield, Nishant Rao, Dileep Nath",Private Equity,36,Flyrobe
12-04-2017,Consumer Internet,Online Skill Assessment Platform,Bangalore,"DHI Group Inc, Prime Venture Partners, Beenext, Beenos, Digital Garage, BizReach",Private Equity,36,Venture Catalysts
12-04-2017,Technology,Software-As-a-Service Platform,Noida,"Blume Ventures, Contrarian Capital, 91springboard, Emergent Ventures, Abstract Ventures, Anthill Ventures, Axilor Ventures",Private Equity,16.8,Playment
13-04-2017,Consumer Internet,Travel Packages & Planner marketplace,Gurgaon,Urrshila Kerkar,Private Equity,61.6,Seedoc
15-04-2017,Consumer Internet,Mobile App for Schools,Jaipur,mall Industries Development Bank of India (SIDBI),Seed Funding Round,2.48,Happilyunmarried
17-04-2017,Consumer Internet,Online Medical Assistance platform,Gurgaon,"Tolaram Inc, Mountain Pine Capital",Private Equity,12,Donxe2X80X99T Scratch Your Head
17-04-2017,Food & Beverages,Healthy Snacks manufacturer,Mumbai,"Nibhrant Shah, Anandbir Singh, Anirudh Sheth, Pratik Singhi, Vikram Mehta, Murali Nair",Seed Funding Round,1.4,Adytude
17-04-2017,Consumer Internet,Online Salon discovery & Booking Services,New Delhi,"Gaurav Kachru, Sundeep Singh Sahni, Jatin Aneja, Arun Malhotra",Seed Funding Round,4.96,Trak N Tell
18-04-2017,Technology,Cyber Security solutions using AI,New Delhi,IndiaNivesh Venture Capital Fund,Private Equity,16,Yaap
